iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
801	270	298	270	340	270	298	340
802	270	298	270	340	270	298	340
803	270	298	270	340	270	298	340
804	270	298	270	340	270	298	340
805	270	298	270	340	270	298	340
806	270	298	270	340	270	298	340
807	269	297	269	340	269	297	340
808	270	298	270	340	270	298	340
809	270	298	270	340	270	298	340
810	270	298	270	340	270	298	340
811	270	298	270	340	270	298	340
812	270	297	270	340	270	297	340
813	270	297	270	340	270	297	340
814	270	297	270	340	270	297	340
815	270	297	270	340	270	297	340
816	270	297	270	340	270	297	340
817	270	297	270	340	270	297	340
818	270	297	270	340	270	297	340
819	270	297	270	340	270	297	340
820	270	297	270	340	270	297	340
821	270	297	270	340	270	297	340
822	271	298	271	340	271	298	340
823	271	298	271	340	271	298	340
824	271	297	271	340	271	297	340
825	271	297	271	340	271	297	340
826	271	297	271	340	271	297	340
827	271	297	271	340	271	297	340
828	271	297	271	340	271	297	340
829	271	297	271	340	271	297	340
830	271	297	271	340	271	297	340
831	271	297	271	340	271	297	340
832	271	297	271	340	271	297	340
833	271	297	271	340	271	297	340
834	271	297	271	340	271	297	340
835	271	297	271	340	271	297	340
836	271	297	271	340	271	297	340
837	271	297	271	340	271	297	340
838	271	297	271	340	271	297	340
839	271	297	271	340	271	297	340
840	271	297	271	340	271	297	340
841	271	297	271	340	271	297	340
842	271	297	271	340	271	297	340
843	271	297	271	340	271	297	340
844	271	297	271	340	271	297	340
845	271	297	271	340	271	297	340
846	271	297	271	340	271	297	340
847	271	297	271	340	271	297	340
848	271	297	271	340	271	297	340
849	272	298	272	340	272	298	340
850	272	298	272	340	272	298	340
851	272	298	272	340	272	298	340
852	272	298	272	340	272	298	340
853	272	298	272	340	272	298	340
854	272	298	272	340	272	298	340
